Date,Time,Timezone,Platform,ContentType,Topic,Category,Package,Status,ApprovalRequired,PublishEligible,DuplicateCheckKey
2026-01-05,09:00,Asia/Kolkata,Instagram,Reel,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,Yes,No,2026-01-05|2026-01-05-01-compounding|Instagram
2026-01-05,18:30,Asia/Kolkata,YouTube,Short,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,Yes,No,2026-01-05|2026-01-05-01-compounding|YouTube
2026-01-06,09:00,Asia/Kolkata,Instagram,Reel,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,Yes,No,2026-01-06|2026-01-06-02-rule-of-72|Instagram
2026-01-06,18:30,Asia/Kolkata,YouTube,Short,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,Yes,No,2026-01-06|2026-01-06-02-rule-of-72|YouTube
2026-01-07,09:00,Asia/Kolkata,Instagram,Reel,SIP,Wealth Building,2026-01-07-03-sip,Draft,Yes,No,2026-01-07|2026-01-07-03-sip|Instagram
2026-01-07,18:30,Asia/Kolkata,YouTube,Short,SIP,Wealth Building,2026-01-07-03-sip,Draft,Yes,No,2026-01-07|2026-01-07-03-sip|YouTube
2026-01-08,09:00,Asia/Kolkata,Instagram,Reel,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,Yes,No,2026-01-08|2026-01-08-04-inflation|Instagram
2026-01-08,18:30,Asia/Kolkata,YouTube,Short,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,Yes,No,2026-01-08|2026-01-08-04-inflation|YouTube
2026-01-09,09:00,Asia/Kolkata,Instagram,Reel,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,Yes,No,2026-01-09|2026-01-09-05-financial-freedom|Instagram
2026-01-09,18:30,Asia/Kolkata,YouTube,Short,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,Yes,No,2026-01-09|2026-01-09-05-financial-freedom|YouTube
2026-01-10,09:00,Asia/Kolkata,Instagram,Reel,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,Yes,No,2026-01-10|2026-01-10-06-equity|Instagram
2026-01-10,18:30,Asia/Kolkata,YouTube,Short,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,Yes,No,2026-01-10|2026-01-10-06-equity|YouTube
2026-01-11,09:00,Asia/Kolkata,Instagram,Reel,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,Yes,No,2026-01-11|2026-01-11-07-market-capitalization|Instagram
